id,soc_stock_t_ha_observado,soc_stock_t_ha_predito,mean_prediction,median_prediction,sampling_year,error,code_state.x,abbrev_state.x,name_state,code_region,name_region,code_muni,name_muni,code_state.y,abbrev_state.y,geometry
ctb0033-RO1895,19,18.95,3830,3689,1996,-0.0500000000000007,11,RO,Rondônia,1,Norte,1100205,Porto Velho,11,RO,-64.43194444|-9.21722222
ctb0033-RO2339,19,19.09,4060,3856,1996,0.0899999999999999,11,RO,Rondônia,1,Norte,1100205,Porto Velho,11,RO,-62.99805556|-8.35472222
ctb0033-RO2912,19,19.11,4016,3950,1996,0.109999999999999,11,RO,Rondônia,1,Norte,1100205,Porto Velho,11,RO,-64.74694444|-9.37722222
ctb0033-RO2918,19,19.04,4283,4032,1996,0.0399999999999991,11,RO,Rondônia,1,Norte,1100205,Porto Velho,11,RO,-65.43638889|-9.66583333
ctb0033-RO2939,19,20.06,3554,3448,1996,1.06,11,RO,Rondônia,1,Norte,1100205,Porto Velho,11,RO,-65.52666667|-9.77083333
ctb0033-RO3302,19,18.85,3979,3962,1996,-0.149999999999999,11,RO,Rondônia,1,Norte,1100205,Porto Velho,11,RO,-66.13111111|-9.76416667
ctb0033-RO3311,19,19.15,3476,3443,1996,0.149999999999999,11,RO,Rondônia,1,Norte,1100205,Porto Velho,11,RO,-64.50888889|-9.33527778
ctb0033-RO3341,19,18.8,3866,3740,1996,-0.199999999999999,11,RO,Rondônia,1,Norte,1100205,Porto Velho,11,RO,-64.87611111|-9.34722222
ctb0033-RO3596,19,18.47,4542,3997,1996,-0.530000000000001,11,RO,Rondônia,1,Norte,1100205,Porto Velho,11,RO,-62.92166667|-8.04527778
ctb0033-RO3712,19,18.75,3555,3504,1996,-0.25,11,RO,Rondônia,1,Norte,1100205,Porto Velho,11,RO,-63.75972222|-8.85694444
ctb0033-RO3723,19,19.36,3323,3271,1996,0.359999999999999,11,RO,Rondônia,1,Norte,1100205,Porto Velho,11,RO,-64.04055556|-9.17472222
ctb0033-RO3745,19,20.6,3444,3231,1996,1.6,11,RO,Rondônia,1,Norte,1100205,Porto Velho,11,RO,-64.185|-9.1075
ctb0033-RO3893,19,19.19,3276,3240,1996,0.190000000000001,11,RO,Rondônia,1,Norte,1100205,Porto Velho,11,RO,-64.28305556|-9.11305556
ctb0033-RO1897,20,19.99,3809,3685,1996,-0.0100000000000016,11,RO,Rondônia,1,Norte,1100205,Porto Velho,11,RO,-64.50111111|-9.21222222
ctb0033-RO2906,20,19.7,3838,3751,1996,-0.300000000000001,11,RO,Rondônia,1,Norte,1100205,Porto Velho,11,RO,-64.55972222|-9.45555556
ctb0033-RO2926,20,20,3466,3449,1996,0,11,RO,Rondônia,1,Norte,1100205,Porto Velho,11,RO,-65.28055556|-9.93777778
ctb0033-RO2942,20,24.37,3524,3480,1996,4.37,11,RO,Rondônia,1,Norte,1100205,Porto Velho,11,RO,-65.53638889|-9.70388889
ctb0033-RO3312,20,20.14,3434,3406,1996,0.140000000000001,11,RO,Rondônia,1,Norte,1100205,Porto Velho,11,RO,-64.56944444|-9.38527778
ctb0033-RO3348,20,18.33,5040,3905,1996,-1.67,11,RO,Rondônia,1,Norte,1100205,Porto Velho,11,RO,-64.79888889|-9.36277778
ctb0033-RO3898,20,19.66,3652,3471,1996,-0.34,11,RO,Rondônia,1,Norte,1100205,Porto Velho,11,RO,-64.34916667|-9.24888889
ctb0033-RO2335,21,20.81,3370,3299,1996,-0.190000000000001,11,RO,Rondônia,1,Norte,1100205,Porto Velho,11,RO,-62.98388889|-8.48722222
ctb0033-RO2381,21,20.27,3905,3868,1996,-0.73,11,RO,Rondônia,1,Norte,1100205,Porto Velho,11,RO,-63.70944444|-8.69055556
ctb0033-RO2399,21,21.03,3400,3288,1996,0.0300000000000011,11,RO,Rondônia,1,Norte,1100205,Porto Velho,11,RO,-63.93666667|-8.83472222
