point_id,longitude,latitude,year,soc_stock_g_m2
ctb0059-CE_309,-38.8798182644399,-6.30008201512779,2014,4118
ctb0059-CE_31,-40.6801810037451,-3.42040183694613,2014,1470
ctb0059-CE_310,-38.6999132071657,-6.29963867869341,2014,4892
ctb0059-CE_312,-40.4997134352016,-6.48017836660746,2014,3567
ctb0059-CE_313,-40.3204295821329,-6.479871664571,2014,3410
ctb0059-CE_314,-40.1403841871164,-6.48020869729632,2014,3437
ctb0059-CE_317,-39.600095584307,-6.48018540426447,2014,4865
ctb0059-CE_318,-39.4197258501226,-6.47978767798185,2014,4438
ctb0059-CE_319,-39.2397235802213,-6.48035691159188,2014,2196
ctb0059-CE_32,-40.4997105012207,-3.42016859748989,2014,4094
ctb0059-CE_320,-39.0601435974569,-6.48039186906951,2014,3838
ctb0059-CE_321,-38.8797310594577,-6.47996506064239,2014,3410
ctb0059-CE_322,-38.7001337478027,-6.47989073193149,2014,3823
ctb0059-CE_323,-40.6797030466869,-6.66006291551535,2014,6683
ctb0059-CE_324,-40.4999548168454,-6.66036112898619,2014,2514
ctb0059-CE_325,-40.3198291311145,-6.66029646646307,2014,4553
ctb0059-CE_326,-40.1404051401467,-6.66015538813589,2014,4598
ctb0059-CE_327,-39.960101862958,-6.66001410379213,2014,3047
ctb0059-CE_328,-39.7799252532703,-6.65998767454994,2014,4333
ctb0059-CE_329,-39.600166087728,-6.65977741346172,2014,2248
ctb0059-CE_33,-40.3199633078944,-3.41999063750387,2013,2188
ctb0059-CE_330,-39.4197775324922,-6.66015356231386,2014,4381
ctb0059-CE_331,-39.2397552578215,-6.65989378406838,2014,2964
ctb0059-CE_332,-39.0598937458745,-6.6599573689225,2014,3408
ctb0059-CE_333,-38.8800315857623,-6.66011831011075,2014,5440
ctb0059-CE_334,-38.700025618102,-6.6604307901763,2014,4722
ctb0059-CE_335,-40.3198640448842,-6.84015765804921,2014,2666
ctb0059-CE_336,-40.1400743657625,-6.83969466178742,2014,2256
ctb0059-CE_337,-39.9600038954808,-6.83989758666283,2014,3597
ctb0059-CE_338,-39.7804126842513,-6.84009566628911,2014,4495
ctb0059-CE_339,-39.6000617687676,-6.83958544098921,2014,7108
ctb0059-CE_34,-40.1396005100389,-3.42013230545211,2013,2075
ctb0059-CE_340,-39.4202311264943,-6.83996599391523,2014,6345
ctb0059-CE_341,-39.2398348398927,-6.84000827320363,2014,3232
ctb0059-CE_342,-39.0597981909896,-6.83977483780006,2014,2389
ctb0059-CE_343,-38.8798515751207,-6.8398268792656,2014,3373
ctb0059-CE_344,-38.6999242058209,-6.83983879846986,2014,4244
ctb0059-CE_345,-40.3203183744666,-7.01970891209712,2014,3936
ctb0059-CE_346,-40.1399926714914,-7.02039879024976,2014,2872
ctb0059-CE_347,-39.9596438392504,-7.01986171463447,2014,2286
ctb0059-CE_348,-39.7797485200593,-7.01972481994144,2014,2748
ctb0059-CE_349,-39.5999823255073,-7.02015193771644,2014,3573
ctb0059-CE_35,-39.9599277700034,-3.41956080162328,2013,4995
ctb0059-CE_352,-39.0603279580028,-7.02014269023136,2014,2279
ctb0059-CE_353,-38.8802042600039,-7.02027601112627,2014,10490
ctb0059-CE_354,-40.499941177193,-7.19986421643447,2014,4672
ctb0059-CE_355,-40.3196470163726,-7.19996744743578,2014,2747
ctb0059-CE_356,-40.1402271938894,-7.19994315756081,2014,3834
ctb0059-CE_357,-39.9603080903173,-7.2002294021781,2014,4821
ctb0059-CE_358,-39.7799707183119,-7.19978533543424,2014,6339
ctb0059-CE_359,-39.5995727708289,-7.20006623190191,2014,9371
ctb0059-CE_36,-39.7799586996671,-3.42016787052198,2013,3488
ctb0059-CE_360,-39.4200471302426,-7.20007622886855,2014,7356
ctb0059-CE_361,-39.2399285450364,-7.19976283571734,2014,7891
ctb0059-CE_362,-39.0602698763371,-7.1997493791523,2014,3128
ctb0059-CE_363,-38.8799220783491,-7.20041603763882,2014,6760
ctb0059-CE_364,-38.6999288546911,-7.20002587192396,2014,6999
ctb0059-CE_365,-39.6002745416273,-7.38023997945201,2014,11165
ctb0059-CE_366,-39.4199970183975,-7.37966789755793,2014,13911
ctb0059-CE_368,-39.0597412253486,-7.37991556590964,2014,4528
ctb0059-CE_37,-39.600188069844,-3.41966442969401,2013,1567
ctb0059-CE_370,-38.7002351529221,-7.37965618486501,2014,3022
ctb0059-CE_371,-39.4202777446521,-7.55971913833684,2014,7983
ctb0059-CE_372,-39.2399142177373,-7.55998219609602,2014,8706
ctb0059-CE_373,-39.0599378714415,-7.55961887452135,2014,7068
ctb0059-CE_374,-38.8798159893559,-7.56005872878372,2014,2241
ctb0059-CE_375,-38.6998400056503,-7.56039720001606,2014,2592
ctb0059-CE_376,-39.0597091367492,-7.74006250957546,2014,5395
ctb0059-CE_38,-39.4200969248608,-3.41982387723006,2013,3894
ctb0059-CE_39,-39.2401096212753,-3.42005793185532,2013,3978
ctb0059-CE_4,-40.3196428675445,-2.87977296214917,2013,5403
ctb0059-CE_40,-39.0603989284455,-3.42003190308693,2013,4577
ctb0059-CE_41,-41.2200458744591,-3.59981438044138,2014,2995
ctb0059-CE_42,-41.0401455966005,-3.59993816120401,2014,3404
ctb0059-CE_43,-40.8601987414823,-3.60034281167868,2014,758
ctb0059-CE_44,-40.6798989324776,-3.59996188601178,2014,3137
ctb0059-CE_46,-40.3203872757495,-3.60013080863823,2014,3011
ctb0059-CE_47,-40.1396115633139,-3.60006815842243,2014,5207
ctb0059-CE_48,-39.9596528302007,-3.60000480530441,2014,2197
ctb0059-CE_50,-39.6001593088314,-3.60029545782164,2013,4268
ctb0059-CE_52,-39.2399936054921,-3.60042588175144,2013,1535
ctb0059-CE_53,-39.0602033665319,-3.5996775617588,2013,3480
ctb0059-CE_54,-38.8800795620192,-3.59973496896602,2013,12817
ctb0059-CE_56,-41.0401514658073,-3.77997580054832,2014,2839
ctb0059-CE_57,-40.8598075136178,-3.78002075736659,2014,3256
ctb0059-CE_58,-40.6802827063816,-3.78024348945873,2014,5333
ctb0059-CE_6,-39.959730356545,-2.87970047315869,2013,1448
ctb0059-CE_60,-40.3200682793841,-3.78041608988157,2014,6095
ctb0059-CE_61,-40.1400385980401,-3.7797042895696,2014,1153
ctb0059-CE_63,-39.7803006922434,-3.77973266061672,2014,4938
ctb0059-CE_64,-39.6001181032774,-3.78041918789071,2014,2974
ctb0059-CE_65,-39.4196315616262,-3.77996467504639,2013,3206
ctb0059-CE_66,-39.2400328197962,-3.7800964715412,2013,2534
ctb0059-CE_67,-39.0601434606723,-3.78007339735309,2013,3371
ctb0059-CE_68,-38.8800643584877,-3.7802752533684,2013,2756
ctb0059-CE_69,-38.7002567218122,-3.77994214284703,2013,2288
ctb0059-CE_7,-41.2197006106777,-3.06028593782859,2013,2538
ctb0059-CE_70,-38.5202449590701,-3.77974344611462,2013,8957
ctb0059-CE_71,-41.2201786953903,-3.95976535361834,2014,1410
ctb0059-CE_72,-41.0401511499665,-3.96033828338771,2014,3481
ctb0059-CE_73,-40.8597764494324,-3.95970634780734,2014,9438
ctb0059-CE_74,-40.6803493225795,-3.96018134863234,2014,980
ctb0059-CE_75,-40.4997252566941,-3.96030303417872,2014,3374
ctb0059-CE_76,-40.3203461339282,-3.95983148288751,2014,6971
ctb0059-CE_77,-40.1399645001162,-3.96000968154921,2014,2064
ctb0059-CE_78,-39.9600484832826,-3.95984038946409,2014,2275
ctb0059-CE_79,-39.7797720242761,-3.95989454855221,2014,3668
ctb0059-CE_8,-41.0399423075867,-3.05984006806391,2013,2312
ctb0059-CE_80,-39.5995961017885,-3.96018067441367,2014,5304
ctb0059-CE_81,-39.4203508640773,-3.9602732440842,2014,3988
ctb0059-CE_82,-39.2399123680751,-3.96017346967873,2014,3883
ctb0059-CE_83,-39.0602462330762,-3.95997993990989,2013,1980
ctb0059-CE_84,-38.8799399322104,-3.9603714742334,2011,989
ctb0059-CE_85,-38.6996348932032,-3.96008132623933,2013,3054
ctb0059-CE_87,-38.3402246675347,-3.95974580941138,2013,2487
ctb0059-CE_89,-40.8600445319429,-4.14016816310268,2014,5140
ctb0059-CE_9,-40.860003021476,-3.05990660676091,2013,2313
ctb0059-CE_90,-40.6795853213892,-4.13986704399611,2014,3746
ctb0059-CE_91,-40.5000193557096,-4.13956811899439,2014,1985
ctb0059-CE_92,-40.3198185028622,-4.13998909009426,2014,3583
ctb0059-CE_93,-40.1398737349118,-4.13973546925413,2014,1555
ctb0059-CE_94,-39.9601079734431,-4.14023661146377,2014,3615
ctb0059-CE_95,-39.7802324611908,-4.13971098800442,2014,3277
ctb0059-CE_96,-39.6000437736552,-4.13994973374548,2014,4843
ctb0059-CE_97,-39.4200109255996,-4.1395864363065,2014,2993
ctb0059-CE_98,-39.2400554441822,-4.14003248692682,2014,2755
ctb0059-CE_99,-39.0603045991378,-4.14001235931846,2014,5886
ctb0060-PB_106,-35.6402177610889,-7.37988280802362,2016,2488
ctb0060-PB_107,-35.4601817928383,-7.38017000600336,2016,1823
ctb0060-PB_108,-35.2797836367927,-7.37981686223596,2016,1227
ctb0060-PB_109,-35.1001521897217,-7.3795948750727,2016,3080
ctb0060-PB_110,-34.9197334181832,-7.37992762946656,2016,1980
ctb0060-PB_14,-35.639883295555,-6.48006469510146,2016,2323
ctb0060-PB_15,-35.4600001439922,-6.48042678990136,2016,2462
ctb0060-PB_26,-35.640030546348,-6.66041861619783,2016,3349
ctb0060-PB_26_K,-35.5049181586535,-6.74960987418131,2016,2203
ctb0060-PB_26_P48,-35.4827278781244,-6.81755163728347,2016,3237
ctb0060-PB_27,-35.4602416279055,-6.66008198178537,2016,2930
ctb0060-PB_28,-35.2798877868293,-6.65996240674181,2016,5372
ctb0060-PB_29,-35.0997119775481,-6.66011952228318,2016,1599
ctb0060-PB_44_P40,-35.6622654756732,-6.97503081818189,2016,2236
ctb0060-PB_45,-35.6399479873492,-6.84026667177897,2016,2945
ctb0060-PB_46,-35.4596052340174,-6.84015627917955,2016,1173
ctb0060-PB_47,-35.2799607569603,-6.83973970512324,2016,1073
