"point_id","year","soc_stock_g_m2","code_muni","name_muni","code_state","abbrev_state","name_state","code_region","name_region","geometry"
"ctb0033-RO2926",1996,2000,1100205,"Porto Velho",11,"RO","Rondônia",1,"Norte",c(-65.28055556, -9.93777778)
"ctb0033-RO2927",1996,5445,1100205,"Porto Velho",11,"RO","Rondônia",1,"Norte",c(-65.25416667, -9.69111111)
"ctb0033-RO2928",1996,2586,1100205,"Porto Velho",11,"RO","Rondônia",1,"Norte",c(-65.25138889, -9.71)
"ctb0033-RO2929",1996,5442,1100205,"Porto Velho",11,"RO","Rondônia",1,"Norte",c(-65.25861111, -9.72388889)
"ctb0033-RO2930",1996,4512,1100205,"Porto Velho",11,"RO","Rondônia",1,"Norte",c(-65.23527778, -9.76694444)
"ctb0033-RO2931",1996,2844,1100205,"Porto Velho",11,"RO","Rondônia",1,"Norte",c(-65.24361111, -9.80611111)
"ctb0033-RO2932",1996,4858,1100205,"Porto Velho",11,"RO","Rondônia",1,"Norte",c(-65.24916667, -9.82444444)
"ctb0033-RO2933",1996,4087,1100205,"Porto Velho",11,"RO","Rondônia",1,"Norte",c(-65.27416667, -9.91333333)
"ctb0033-RO2934",1996,3312,1100205,"Porto Velho",11,"RO","Rondônia",1,"Norte",c(-65.10111111, -9.76611111)
"ctb0033-RO2935",1996,2709,1100205,"Porto Velho",11,"RO","Rondônia",1,"Norte",c(-65.13138889, -9.745)
"ctb0033-RO2936",1996,4111,1100205,"Porto Velho",11,"RO","Rondônia",1,"Norte",c(-64.76055556, -9.50305556)
"ctb0033-RO2937",1996,3409,1100205,"Porto Velho",11,"RO","Rondônia",1,"Norte",c(-64.63194444, -9.44194444)
"ctb0033-RO2938",1996,3086,1100205,"Porto Velho",11,"RO","Rondônia",1,"Norte",c(-64.56194444, -9.43194444)
"ctb0033-RO2939",1996,2006,1100205,"Porto Velho",11,"RO","Rondônia",1,"Norte",c(-65.52666667, -9.77083333)
"ctb0033-RO2940",1996,3031,1100205,"Porto Velho",11,"RO","Rondônia",1,"Norte",c(-65.55555556, -9.74527778)
"ctb0033-RO2941",1996,2649,1100205,"Porto Velho",11,"RO","Rondônia",1,"Norte",c(-65.55416667, -9.64583333)
"ctb0033-RO2942",1996,2437,1100205,"Porto Velho",11,"RO","Rondônia",1,"Norte",c(-65.53638889, -9.70388889)
"ctb0033-RO2943",1996,4917,1100205,"Porto Velho",11,"RO","Rondônia",1,"Norte",c(-65.53527778, -9.69916667)
"ctb0033-RO2944",1996,2438,1100205,"Porto Velho",11,"RO","Rondônia",1,"Norte",c(-65.44972222, -9.66861111)
"ctb0033-RO2945",1996,6399,1100205,"Porto Velho",11,"RO","Rondônia",1,"Norte",c(-65.49444444, -9.65861111)
"ctb0033-RO2946",1996,4132,1100205,"Porto Velho",11,"RO","Rondônia",1,"Norte",c(-65.56055556, -9.81055556)
"ctb0033-RO2947",1996,1807,1100205,"Porto Velho",11,"RO","Rondônia",1,"Norte",c(-65.5725, -9.81777778)
"ctb0033-RO2948",1996,2081,1100205,"Porto Velho",11,"RO","Rondônia",1,"Norte",c(-65.61083333, -9.82333333)
"ctb0033-RO2949",1996,2847,1100205,"Porto Velho",11,"RO","Rondônia",1,"Norte",c(-65.64805556, -9.79138889)
"ctb0033-RO2950",1996,2414,1100205,"Porto Velho",11,"RO","Rondônia",1,"Norte",c(-65.70361111, -9.80777778)
"ctb0033-RO2951",1996,1696,1100205,"Porto Velho",11,"RO","Rondônia",1,"Norte",c(-65.68472222, -9.72694444)
"ctb0033-RO2952",1996,2109,1100205,"Porto Velho",11,"RO","Rondônia",1,"Norte",c(-65.68527778, -9.74055556)
"ctb0033-RO2953",1996,2081,1100205,"Porto Velho",11,"RO","Rondônia",1,"Norte",c(-65.735686, -9.764905)
"ctb0033-RO2954",1996,2236,1100205,"Porto Velho",11,"RO","Rondônia",1,"Norte",c(-65.58722222, -9.71055556)
"ctb0033-RO2955",1996,2722,1100205,"Porto Velho",11,"RO","Rondônia",1,"Norte",c(-65.60527778, -9.6625)
"ctb0033-RO2956",1996,5223,1100205,"Porto Velho",11,"RO","Rondônia",1,"Norte",c(-65.6475, -9.68777778)
"ctb0033-RO2957",1996,4706,1100205,"Porto Velho",11,"RO","Rondônia",1,"Norte",c(-65.70055556, -9.53555556)
"ctb0033-RO2958",1996,1671,1100205,"Porto Velho",11,"RO","Rondônia",1,"Norte",c(-65.70083333, -9.57638889)
"ctb0033-RO2959",1996,5539,1100205,"Porto Velho",11,"RO","Rondônia",1,"Norte",c(-65.65416667, -9.56305556)
"ctb0033-RO2960",1996,6758,1100205,"Porto Velho",11,"RO","Rondônia",1,"Norte",c(-65.67555556, -9.60861111)
"ctb0033-RO2961",1996,5196,1100205,"Porto Velho",11,"RO","Rondônia",1,"Norte",c(-65.68555556, -9.63861111)
"ctb0033-RO2963",1996,2978,1100205,"Porto Velho",11,"RO","Rondônia",1,"Norte",c(-65.98138889, -9.465)
"ctb0033-RO2964",1996,3416,1100205,"Porto Velho",11,"RO","Rondônia",1,"Norte",c(-65.98, -9.50805556)
"ctb0033-RO2965",1996,2315,1100205,"Porto Velho",11,"RO","Rondônia",1,"Norte",c(-65.97416667, -9.57416667)
"ctb0033-RO2966",1996,2774,1100205,"Porto Velho",11,"RO","Rondônia",1,"Norte",c(-65.93222222, -9.57444444)
"ctb0033-RO2967",1996,2437,1100205,"Porto Velho",11,"RO","Rondônia",1,"Norte",c(-66.005, -9.6025)
"ctb0033-RO2968",1996,2588,1100205,"Porto Velho",11,"RO","Rondônia",1,"Norte",c(-65.08916667, -9.67472222)
"ctb0033-RO2969",1996,4428,1100205,"Porto Velho",11,"RO","Rondônia",1,"Norte",c(-64.99305556, -9.64777778)
"ctb0033-RO2970",1996,3656,1100205,"Porto Velho",11,"RO","Rondônia",1,"Norte",c(-65.77333333, -9.68111111)
"ctb0033-RO2971",1996,4142,1100205,"Porto Velho",11,"RO","Rondônia",1,"Norte",c(-65.77722222, -9.7)
"ctb0033-RO2972",1996,3923,1100205,"Porto Velho",11,"RO","Rondônia",1,"Norte",c(-65.81722222, -9.67055556)
"ctb0033-RO2973",1996,2601,1100205,"Porto Velho",11,"RO","Rondônia",1,"Norte",c(-65.90027778, -9.71972222)
"ctb0033-RO2974",1996,3368,1100205,"Porto Velho",11,"RO","Rondônia",1,"Norte",c(-65.91555556, -9.68944444)
"ctb0033-RO2975",1996,3332,1100205,"Porto Velho",11,"RO","Rondônia",1,"Norte",c(-66.69472222, -9.79111111)
"ctb0033-RO2976",1996,2705,1100205,"Porto Velho",11,"RO","Rondônia",1,"Norte",c(-66.63805556, -9.87027778)
"ctb0033-RO2977",1996,2057,1100205,"Porto Velho",11,"RO","Rondônia",1,"Norte",c(-66.63833333, -9.82361111)
"ctb0033-RO2978",1996,2910,1100205,"Porto Velho",11,"RO","Rondônia",1,"Norte",c(-66.59472222, -9.80527778)
"ctb0033-RO2979",1996,5642,1100205,"Porto Velho",11,"RO","Rondônia",1,"Norte",c(-66.74083333, -9.7975)
"ctb0033-RO2980",1996,3733,1100205,"Porto Velho",11,"RO","Rondônia",1,"Norte",c(-66.73472222, -9.83166667)
"ctb0033-RO2981",1996,3463,1100205,"Porto Velho",11,"RO","Rondônia",1,"Norte",c(-66.64805556, -9.74361111)
"ctb0033-RO2983",1996,3318,1100205,"Porto Velho",11,"RO","Rondônia",1,"Norte",c(-66.61388889, -9.73472222)
"ctb0033-RO2984",1996,3208,1100205,"Porto Velho",11,"RO","Rondônia",1,"Norte",c(-66.55722222, -9.83666667)
"ctb0033-RO2985",1996,4510,1100205,"Porto Velho",11,"RO","Rondônia",1,"Norte",c(-66.53944444, -9.79444444)
"ctb0033-RO2986",1996,3965,1100205,"Porto Velho",11,"RO","Rondônia",1,"Norte",c(-66.49166667, -9.77666667)
