system:index,id,mean_prediction,median_prediction,sampling_year,soc_stock_tha,.geo
0000000000000000226a,ctb0751-101,3691.0,3591.0,1985,36,"{""type"":""Point"",""coordinates"":[-62.25000049462884,-9.349999157402186]}"
00000000000000002271,ctb0751-151,4143.0,3903.0,1985,37,"{""type"":""Point"",""coordinates"":[-62.56666801504036,-10.149997559198805]}"
00000000000000002292,ctb0751-95,4110.0,4049.0,1985,37,"{""type"":""Point"",""coordinates"":[-62.58332721657603,-9.216667576803104]}"
00000000000000002328,ctb0754-41,4258.0,4132.0,1985,38,"{""type"":""Point"",""coordinates"":[-61.466670212570016,-12.466670002303971]}"
00000000000000002278,ctb0751-184,4004.0,3923.0,1985,39,"{""type"":""Point"",""coordinates"":[-64.73333183960655,-11.150000020545635]}"
0000000000000000228b,ctb0751-65,5394.0,4290.0,1985,39,"{""type"":""Point"",""coordinates"":[-63.19999859676233,-9.16669889039819]}"
0000000000000000232d,ctb0754-50,5137.0,4547.0,1985,39,"{""type"":""Point"",""coordinates"":[-61.0666710116717,-12.800001183352212]}"
0000000000000000232f,ctb0754-58,6312.0,5316.0,1985,40,"{""type"":""Point"",""coordinates"":[-61.099998332945155,-13.483331665186471]}"
000000000000000021de,ctb0713-85,4227.0,3925.0,1985,41,"{""type"":""Point"",""coordinates"":[-66.48329712982928,-9.783298924967632]}"
00000000000000002272,ctb0751-154,3648.0,3582.0,1985,41,"{""type"":""Point"",""coordinates"":[-62.84999929597632,-10.26666993826222]}"
0000000000000000228e,ctb0751-83,7690.0,5430.0,1985,41,"{""type"":""Point"",""coordinates"":[-62.05000089417969,-9.066667876466237]}"
00000000000000002320,ctb0754-23,4813.0,4190.0,1985,42,"{""type"":""Point"",""coordinates"":[-62.73333137601395,-12.550001682790768]}"
000000000000000021dd,ctb0713-84,3906.0,3758.0,1985,44,"{""type"":""Point"",""coordinates"":[-66.76669975638208,-9.76669769174565]}"
00000000000000002281,ctb0751-211,4907.0,4423.0,1985,46,"{""type"":""Point"",""coordinates"":[-61.066697766278025,-11.76669815533825]}"
0000000000000000227e,ctb0751-204,4770.0,4622.0,1985,48,"{""type"":""Point"",""coordinates"":[-60.383331611635334,-11.299999720882498]}"
0000000000000000231f,ctb0754-22,4161.0,3938.0,1985,48,"{""type"":""Point"",""coordinates"":[-62.41667277380455,-12.466670002303971]}"
0000000000000000227f,ctb0751-209,4603.0,4571.0,1985,49,"{""type"":""Point"",""coordinates"":[-60.74999903215913,-11.583331001818449]}"
00000000000000002283,ctb0751-215,3773.0,3479.0,1985,49,"{""type"":""Point"",""coordinates"":[-60.949998632608285,-11.94999842234225]}"
00000000000000002284,ctb0751-23,5624.0,4547.0,1985,49,"{""type"":""Point"",""coordinates"":[-63.5166705762749,-8.483332735755498]}"
00000000000000002327,ctb0754-4,4931.0,4640.0,1985,49,"{""type"":""Point"",""coordinates"":[-64.31667343717257,-12.41667010219168]}"
00000000000000002340,ctb0754-9,3393.0,3319.0,1985,50,"{""type"":""Point"",""coordinates"":[-64.6833274803932,-10.45000141897359]}"
00000000000000002335,ctb0754-7,4255.0,4014.0,1985,52,"{""type"":""Point"",""coordinates"":[-63.71667017672405,-12.199997922903695]}"
0000000000000000233d,ctb0754-86,4962.0,4709.0,1985,54,"{""type"":""Point"",""coordinates"":[-60.78333081253364,-13.466668004549744]}"
0000000000000000226b,ctb0751-11,3897.0,3793.0,1985,55,"{""type"":""Point"",""coordinates"":[-63.566701690094554,-8.666699889275302]}"
0000000000000000232c,ctb0754-49,6113.0,5182.0,1985,55,"{""type"":""Point"",""coordinates"":[-61.23332991354424,-12.800001183352212]}"
00000000000000002334,ctb0754-69,6042.0,5143.0,1985,59,"{""type"":""Point"",""coordinates"":[-60.599999331822275,-13.116668703763724]}"
00000000000000002333,ctb0754-66,5625.0,4806.0,1985,60,"{""type"":""Point"",""coordinates"":[-60.1333321110739,-12.733328704401087]}"
0000000000000000232b,ctb0754-47,5185.0,5073.0,1985,62,"{""type"":""Point"",""coordinates"":[-61.3833296138811,-12.650001483015345]}"
0000000000000000226f,ctb0751-147,4288.0,4240.0,1985,63,"{""type"":""Point"",""coordinates"":[-63.7999973981098,-10.683328340696201]}"
00000000000000002331,ctb0754-60,5583.0,4661.0,1985,68,"{""type"":""Point"",""coordinates"":[-60.949998632608285,-12.966669003426857]}"
0000000000000000228a,ctb0751-61,9583.0,6404.0,1985,71,"{""type"":""Point"",""coordinates"":[-65.26667153930605,-9.749998358300497]}"
0000000000000000231d,ctb0754-13,4154.0,3981.0,1985,71,"{""type"":""Point"",""coordinates"":[-62.79999939586402,-12.199997922903695]}"
00000000000000002329,ctb0754-42,4910.0,4818.0,1985,72,"{""type"":""Point"",""coordinates"":[-61.36667041234543,-12.433329303727358]}"
00000000000000002330,ctb0754-6,5689.0,4674.0,1985,84,"{""type"":""Point"",""coordinates"":[-63.86666987706091,-12.183329803165911]}"
0000000000000000231a,ctb0754-10,7347.0,5181.0,1985,89,"{""type"":""Point"",""coordinates"":[-63.33333017736141,-12.300002182229324]}"
00000000000000002336,ctb0754-71,6396.0,5465.0,1985,89,"{""type"":""Point"",""coordinates"":[-60.44999963148539,-13.100000584025944]}"
00000000000000002326,ctb0754-34,5181.0,5152.0,1985,91,"{""type"":""Point"",""coordinates"":[-61.68332901455484,-12.583329004064222]}"
00000000000000002285,ctb0751-24,4741.0,4126.0,1985,101,"{""type"":""Point"",""coordinates"":[-63.98332887882117,-8.766668475792505]}"
