system.index,id,mean_prediction,median_prediction,sampling_year,soc_stock_tha,longitude,latitude
000000000000000009db,ctb0033-RO2248,3546,3384,1996,10,-61.67333171,-12.22055438
00000000000000000a5f,ctb0033-RO2379,4324,4237,1996,10,-63.90305614,-8.671667328
00000000000000000b06,ctb0033-RO2546,3382,3301,1996,10,-61.40944657,-12.78360953
00000000000000000b0f,ctb0033-RO2555,3269,3252,1996,10,-60.88499832,-12.51944346
00000000000000000b40,ctb0033-RO2604,3373,3375,1996,10,-61.03222,-12.35555366
00000000000000000dcb,ctb0033-RO3374,3341,3225,1996,10,-61.70222223,-11.64000172
0.00E+00,ctb0033-RO3515,NA,NA,1996,10,-61.80472358,-10.58444332
00000000000000000e7e,ctb0033-RO3553,3174,3127,1996,10,-62.36527718,-10.20500057
00000000000000000ea7,ctb0033-RO3603,3209,3093,1996,10,-62.86639095,-11.00833438
00000000000000000f06,ctb0033-RO3708,3223,3157,1996,10,-63.85833136,-8.893057236
00000000000000000f89,ctb0033-RO3872,3169,3095,1996,10,-62.38555717,-11.5127791
0000000000000000067c,ctb0033-RO1043,3419,3360,1996,11,-63.44527591,-12.20666874
694,ctb0033-RO1067,3550,3355,1996,11,-64.01333417,-12.39610919
000000000000000006a8,ctb0033-RO1089,3619,3361,1996,11,-64.32277795,-12.13805655
000000000000000006d1,ctb0033-RO1154,3241,3199,1996,11,-63.62083518,-9.713612094
763,ctb0033-RO1511,3549,3406,1996,11,-60.4036116,-12.99277704
797,ctb0033-RO1564,4070,4002,1996,11,-60.41694432,-12.77388869
000000000000000007d6,ctb0033-RO1628,3559,3440,1996,11,-60.80722268,-12.96888964
000000000000000007f0,ctb0033-RO1654,4766,4096,1996,11,-60.38944504,-12.50861231
800,ctb0033-RO1670,4237,4134,1996,11,-60.15305472,-12.45972272
000000000000000008cb,ctb0033-RO1876,4385,4306,1996,11,-60.76222143,-13.4911128
000000000000000008eb,ctb0033-RO2009,3817,3643,1996,11,-65.00527904,-10.66583529
000000000000000008f3,ctb0033-RO2017,3526,3422,1996,11,-65.10333467,-10.62388852
901,ctb0033-RO2031,3811,3546,1996,11,-65.28472198,-10.63222258
918,ctb0033-RO2054,3420,3339,1996,11,-65.29638699,-10.39944413
928,ctb0033-RO2070,3164,3125,1996,11,-65.25916687,-10.41611225
971,ctb0033-RO2142,3923,3781,1996,11,-65.04027852,-11.1849995
000000000000000009a2,ctb0033-RO2191,3377,3318,1996,11,-64.73444661,-10.75361269
00000000000000000ae6,ctb0033-RO2514,4448,4305,1996,11,-61.02527718,-12.8749988
00000000000000000aea,ctb0033-RO2518,3728,3664,1996,11,-61.05472062,-12.87250171
00000000000000000af6,ctb0033-RO2530,4413,4304,1996,11,-61.13194333,-12.71250024
00000000000000000b6c,ctb0033-RO2649,8579,7616,1996,11,-61.55027836,-13.43333177
00000000000000000bc4,ctb0033-RO2831,3420,3373,1996,11,-60.91333144,-11.64500037
00000000000000000bcc,ctb0033-RO2839,3406,3301,1996,11,-60.80833299,-11.79527653
0.00E+00,ctb0033-RO3483,3297,3255,1996,11,-62.52194323,-10.02305587
00000000000000000e4e,ctb0033-RO3505,3375,3302,1996,11,-61.9738885,-10.88194562
00000000000000000e5a,ctb0033-RO3517,3191,3153,1996,11,-61.91527807,-10.47805362
00000000000000000e8f,ctb0033-RO3570,3240,3207,1996,11,-61.82722421,-9.135275605
00000000000000000eba,ctb0033-RO3622,3206,3145,1996,11,-62.50277802,-11.0711096
00000000000000000edd,ctb0033-RO3657,3309,3162,1996,11,-62.10250235,-11.03416595
00000000000000000ef6,ctb0033-RO3682,3225,3143,1996,11,-61.63111294,-11.46249828
00000000000000000f4e,ctb0033-RO3780,3965,3821,1996,11,-61.65194586,-10.93750156
666,ctb0033-RO1021,4018,3853,1996,12,-64.23027835,-12.18444458
691,ctb0033-RO1064,3283,3184,1996,12,-63.40277622,-11.98805685
0000000000000000069c,ctb0033-RO1075,4142,3769,1996,12,-63.94666615,-12.05638811
000000000000000006bd,ctb0033-RO1116,4122,3953,1996,12,-62.74305668,-12.13916687
000000000000000006ce,ctb0033-RO1149,3196,3127,1996,12,-63.55638779,-10.04527557
0000000000000000072d,ctb0033-RO1288,3648,3397,1996,12,-63.48916684,-12.06361186
777,ctb0033-RO1532,3787,3706,1996,12,-60.94555737,-12.71889014
000000000000000007f5,ctb0033-RO1659,4653,4165,1996,12,-60.35972067,-12.52833491
832,ctb0033-RO1722,4495,4386,1996,12,-60.37749911,-13.37416841
897,ctb0033-RO1823,3701,3597,1996,12,-60.8977781,-12.99139026
000000000000000008d9,ctb0033-RO1890,5589,4413,1996,12,-61.24972157,-13.09860934
920,ctb0033-RO2062,3118,3096,1996,12,-65.21694364,-10.14555629
954,ctb0033-RO2113,3224,3176,1996,12,-64.65083401,-10.33389089
0000000000000000095a,ctb0033-RO2119,3780,3641,1996,12,-65.07722217,-11.61444661
000000000000000009a1,ctb0033-RO2190,3941,3532,1996,12,-64.73805403,-10.75166852
00000000000000000a10,ctb0033-RO2300,3980,3858,1996,12,-61.53027929,-12.30138896
00000000000000000ae3,ctb0033-RO2511,4783,4685,1996,12,-61.0100003,-12.92888704
00000000000000000aeb,ctb0033-RO2519,4089,4000,1996,12,-61.04999843,-12.88027838
00000000000000000b20,ctb0033-RO2572,3558,3467,1996,12,-61.25416729,-12.13139019
00000000000000000b4a,ctb0033-RO2615,3442,3341,1996,12,-61.29277865,-12.08666541
00000000000000000d2a,ctb0033-RO3213,3284,3199,1996,12,-62.17166747,-9.951665663
00000000000000000da1,ctb0033-RO3332,0,0,1996,12,-65.07833249,-9.484998442
00000000000000000dca,ctb0033-RO3373,3286,3206,1996,12,-61.69861035,-11.51472327
0.00E+00,ctb0033-RO3547,3157,3148,1996,12,-61.98111224,-10.11055681
00000000000000000e8c,ctb0033-RO3567,3147,3107,1996,12,-62.28972217,-10.2291689
00000000000000000ed1,ctb0033-RO3645,3681,3642,1996,12,-62.37860989,-11.41305577
00000000000000000f4f,ctb0033-RO3781,3345,3303,1996,12,-61.78694515,-10.86749813
00000000000000000f54,ctb0033-RO3786,3710,3672,1996,12,-61.56444492,-10.87111
00000000000000000f82,ctb0033-RO3865,4508,4395,1996,12,-62.38472331,-11.78055704
00000000000000000fa4,ctb0033-RO3899,3222,3195,1996,12,-64.31861315,-9.191665397
651,ctb0033-RO0663F,3763,3731,1996,13,-62.79227177,-11.03414812
0000000000000000066d,ctb0033-RO1028,3130,3103,1996,13,-63.54388893,-11.87472434
