"system.index","id","mean_prediction","median_prediction","sampling_year","soc_stock_tha","longitude","latitude"
"00000000000000001e6c","ctb0669-PERFIL-EXTRA-9",4134,4116,1985,41,-62.0999963351909,-9.5833349973269
"00000000000000001e71","ctb0669-Perfil-13",3433,3371,1985,41,-62.0666690139175,-9.38333539687775
"00000000000000001e7e","ctb0669-Perfil-6",3756,3569,1985,43,-62.0000009940674,-9.38333539687775
"00000000000000001e66","ctb0669-PERFIL-EXTRA-3",3476,3343,1985,44,-62.0666690139175,-9.53333063811356
"00000000000000001e72","ctb0669-Perfil-14",3528,3471,1985,44,-62.0166691138052,-9.38333539687775
"00000000000000001e79","ctb0669-Perfil-20",4218,3937,1985,44,-62.0666690139175,-9.56666687758912
"00000000000000001e7d","ctb0669-Perfil-5",4373,3519,1985,44,-62.0333283153409,-9.44999895762677
"00000000000000001e6d","ctb0669-Perfil-1",3557,3509,1985,45,-62.2500004946288,-9.39999905751448
"00000000000000001e7f","ctb0669-Perfil-7",3969,3617,1985,45,-62.0833282154531,-9.53333063811356
"00000000000000001e77","ctb0669-Perfil-19",3829,3759,1985,49,-62.1500006944043,-9.59999865796363
"00000000000000001e78","ctb0669-Perfil-2",3457,3384,1985,49,-62.3166685144789,-9.39999905751448
"00000000000000001e6a","ctb0669-PERFIL-EXTRA-7",3654,3501,1985,57,-62.2166731733554,-9.48333073800127
"00000000000000001e7b","ctb0669-Perfil-3",3832,3736,1985,69,-61.9833284152286,-9.41666717725226
"00000000000000001e63","ctb0669-PERFIL-EXTRA-14",7578,5436,1985,81,-62.0666690139175,-9.41666717725226
"00000000000000001e62","ctb0669-PERFIL-EXTRA-12",6866,5820,1985,166,-62.0833282154531,-9.41666717725226
"00000000000000001e61","ctb0669-PERFIL-EXTRA-11",11332,8655,1985,342,-62.0500008941797,-9.53333063811356
"00000000000000000d9b","ctb0033-RO3326",0,0,1996,2,-65.0166675796436,-9.43750009737396
"000000000000000008ee","ctb0033-RO2012",4013,3599,1996,3,-64.8469452753473,-10.700000919535
"00000000000000000b47","ctb0033-RO2612",0,0,1996,3,-61.3086129166296,-12.2569451024573
"00000000000000000693","ctb0033-RO1066",3904,3825,1996,4,-64.046389485919,-12.3580552188441
"00000000000000000d5f","ctb0033-RO3266",3469,3442,1996,4,-62.0724970589943,-8.85694297661952
"00000000000000000780","ctb0033-RO1541",3275,3282,1996,5,-60.9141652965428,-12.4233319991655
"000000000000000009e2","ctb0033-RO2254D",4763,4690,1996,5,-61.8483514263408,-12.0359252996422
"00000000000000000a2b","ctb0033-RO2327",3135,3065,1996,5,-62.8911122076891,-8.22027698730957
"000000000000000006b5","ctb0033-RO1103",3326,3118,1996,6,-63.0969443123161,-11.9747241376836
"000000000000000006d4","ctb0033-RO1178",3359,3335,1996,6,-63.6527757177292,-10.3433352626741
"00000000000000000764","ctb0033-RO1512",3487,3431,1996,6,-60.4447200558381,-12.9775001598857
"000000000000000008fd","ctb0033-RO2027",3426,3366,1996,6,-65.1811103082925,-10.9038888561028
"00000000000000000b74","ctb0033-RO2657",5167,4666,1996,6,-61.397500637029,-13.5202797765153
"00000000000000000b7a","ctb0033-RO2663",5043,4565,1996,6,-61.8772241056618,-13.5002762491896
"00000000000000000d3e","ctb0033-RO3233",3432,3247,1996,6,-62.0936109024824,-8.92250068030728
"00000000000000000de0","ctb0033-RO3395",3289,3191,1996,6,-61.8202769261083,-11.8602768500459
"00000000000000000e4a","ctb0033-RO3501",3124,3073,1996,6,-62.1066671503669,-10.7827796714912
"0000000000000000067a","ctb0033-RO1041",3213,3142,1996,7,-63.4480539292645,-12.1424978148195
"00000000000000000692","ctb0033-RO1065",3250,3176,1996,7,-64.0561103262155,-12.2983344784353
"00000000000000000781","ctb0033-RO1542",3271,3283,1996,7,-60.9138888322775,-12.4238893867972
"00000000000000000889","ctb0033-RO1809",3974,3948,1996,7,-60.7019433001062,-13.0280574476296
"00000000000000000991","ctb0033-RO2174",4804,3520,1996,7,-65.1741674879523,-11.0447206446738
