"system.index","id","mean_prediction","median_prediction","sampling_year","soc_stock_tha","longitude","latitude"
"00000000000000000ae0","ctb0033-RO2508",4638,4582,1996,43,-60.8808335161683,-12.9247222398171
"000000000000000007ca","ctb0033-RO1615",4391,4372,1996,44,-60.7491651802621,-12.9577775559263
"000000000000000008b6","ctb0033-RO1855",3961,3891,1996,44,-61.1966671846828,-13.0513874643413
"000000000000000008a0","ctb0033-RO1832",4119,4141,1996,46,-60.9374997723555,-13.0894458918324
"0000000000000000088f","ctb0033-RO1815",4387,4279,1996,47,-61.067776868733,-12.9388888038639
"00000000000000000856","ctb0033-RO1758",4074,4029,1996,48,-60.7424988241872,-13.1111126638511
"000000000000000007d3","ctb0033-RO1624",4050,3950,1996,49,-60.8008327841684,-12.9241648521854
"000000000000000008b4","ctb0033-RO1852",4353,4062,1996,49,-61.2191678085985,-13.0000007838014
"000000000000000008b5","ctb0033-RO1854",4405,4275,1996,49,-61.2008319850667,-13.0191660001291
"00000000000000000877","ctb0033-RO1791",4060,4010,1996,50,-61.061944364555,-13.0800015158012
"00000000000000000899","ctb0033-RO1825",3644,3538,1996,50,-60.8261114280404,-12.9188897356392
"000000000000000007d7","ctb0033-RO1629",3946,3895,1996,52,-61.2605571845766,-12.8988906674145
"00000000000000000878","ctb0033-RO1792",4080,4028,1996,53,-61.0647223845113,-13.0116657921572
"00000000000000000af8","ctb0033-RO2532",3808,3682,1996,54,-61.4022228250446,-12.9008348354738
"00000000000000000872","ctb0033-RO1786",5364,5101,1996,57,-60.8199980004961,-13.1022212163506
"00000000000000000ada","ctb0033-RO2502",4608,4442,1996,58,-60.851109148546,-12.9666645443258
"00000000000000000876","ctb0033-RO1790",4271,4193,1996,61,-61.0516661366268,-13.0461123477951
"0000000000000000088c","ctb0033-RO1812",4490,4318,1996,61,-61.0530573761555,-12.907777655814
"000000000000000007cb","ctb0033-RO1616",4216,4047,1996,62,-60.7680539323245,-12.9597217239856
"000000000000000007c9","ctb0033-RO1614",4770,4705,1996,64,-60.7452768441435,-12.9633335958389
"00000000000000000898","ctb0033-RO1824",3873,3820,1996,64,-60.853610704237,-12.9955550600511
"0000000000000000088e","ctb0033-RO1814",4211,4066,1996,69,-61.0936129002366,-12.9666645443258
"00000000000000000895","ctb0033-RO1821",0,0,1996,72,-61.0325009202991,-12.9669454676922
"00000000000000000adc","ctb0033-RO2504",3726,3602,1996,79,-60.8852792399186,-12.9438874561448
"000000000000000007c7","ctb0033-RO1611",4965,4911,1996,93,-60.7261116278158,-12.90610995202
"00000000000000000874","ctb0033-RO1788",3980,3962,1996,102,-60.9938895642774,-12.9983330800074
