"id","soc_stock_t_ha_observado","soc_stock_t_ha_predito","mean_prediction","median_prediction","sampling_year","soc_stock_g_m2","latitude","longitude"
"ctb0033-RO2404",13,12.65,3599,3440,1996,1265,-12.24194444,-62.05027778
"ctb0033-RO2503",13,13.33,4215,4174,1996,1333,-12.95333333,-60.88833333
"ctb0033-RO2520",13,13.59,3803,3654,1996,1359,-13.0025,-61.10972222
"ctb0033-RO2557",13,12.77,4531,4157,1996,1277,-12.35555556,-60.91361111
"ctb0033-RO2578",13,12.54,3398,3374,1996,1254,-12.015,-60.83805556
"ctb0033-RO2605",13,12.54,3496,3345,1996,1254,-12.17694444,-61.46666667
"ctb0033-RO2610",13,12.88,3397,3341,1996,1288,-12.21416667,-61.32694444
"ctb0033-RO2631",13,13.45,4277,4033,1996,1345,-13.08527778,-62.38027778
"ctb0033-RO2645",13,12.51,4759,4508,1996,1251,-13.25805556,-62.04944444
"ctb0033-RO2679",13,12.48,3299,3179,1996,1248,-9.70444444,-62.01
"ctb0033-RO2802",13,12.9,3494,3412,1996,1290,-11.765,-61.29611111
"ctb0033-RO2832",13,12.73,4156,4046,1996,1273,-11.68194444,-60.92194444
"ctb0033-RO3003",13,13.35,4787,4032,1996,1335,-12.4325,-63.02833333
"ctb0033-RO3054",13,14.31,3573,3464,1996,1431,-11.10777778,-61.44555556
"ctb0033-RO3063",13,12.74,3969,3889,1996,1274,-11.12,-61.36444444
"ctb0033-RO3184",13,12.87,3611,3504,1996,1287,-11.68944444,-61.37472222
"ctb0033-RO3389",13,13.43,3692,3647,1996,1343,-11.90666667,-61.70333333
"ctb0033-RO3474",13,13.35,3352,3117,1996,1335,-10.06888889,-62.83138889
"ctb0033-RO3518",13,13.25,3348,3303,1996,1325,-10.41055556,-61.89916667
"ctb0033-RO3656",13,13.19,3603,3500,1996,1319,-11.01083333,-62.1775
"ctb0033-RO3770",13,13.63,3615,3562,1996,1363,-11.24527778,-61.89055556
"ctb0033-RO3906",13,13.08,3274,3173,1996,1308,-11.62527778,-61.96083333
"ctb0033-RO3912",13,12.87,3174,3095,1996,1287,-11.78138889,-61.88444444
"ctb0033-RO3920",13,13.02,4093,4015,1996,1302,-11.94416667,-62.08583333
"ctb0033-RO0663G",14,14.83,3556,3504,1996,1483,-11.0352081984736,-62.7926268898833
"ctb0033-RO1025",14,15.37,3305,3232,1996,1537,-12.17527778,-63.8075
"ctb0033-RO1027",14,14.03,3474,3382,1996,1403,-11.84388889,-63.54388889
"ctb0033-RO1079",14,14.48,3330,3231,1996,1448,-12.15333333,-63.85166667
"ctb0033-RO1086",14,14.53,3442,3281,1996,1453,-12.14222222,-63.96166667
"ctb0033-RO1120",14,15.48,3245,3159,1996,1548,-11.75388889,-63.14638889
"ctb0033-RO1214",14,14.33,3560,3422,1996,1433,-11.76277778,-63.18916667
"ctb0033-RO1249",14,13.46,4299,3517,1996,1346,-12.20055556,-63.12861111
"ctb0033-RO1371",14,15.37,0,0,1996,1537,-10.04027778,-63.42777778
"ctb0033-RO1515",14,14.35,3573,3438,1996,1435,-12.8975,-60.46972222
"ctb0033-RO1531",14,13.72,3392,3344,1996,1372,-12.71916667,-60.96333333
"ctb0033-RO1540",14,14.3,3337,3308,1996,1430,-12.41666667,-60.94027778
"ctb0033-RO1556",14,14.38,4364,4213,1996,1438,-12.41777778,-59.86805556
"ctb0033-RO1572",14,14.06,3480,3405,1996,1406,-12.94472222,-60.40388889
"ctb0033-RO1583",14,14.28,3426,3344,1996,1428,-13,-60.44555556
"ctb0033-RO1594",14,14.18,0,0,1996,1418,-12.20638889,-60.69777778
"ctb0033-RO1621",14,14.38,3918,3791,1996,1438,-12.985,-60.73027778
"ctb0033-RO1851",14,14.65,3828,3762,1996,1465,-13.00027778,-61.15805556
"ctb0033-RO2004",14,13.2,3398,3311,1996,1320,-10.74194444,-65.26944444
"ctb0033-RO2078",14,13.35,3221,3161,1996,1335,-10.17583333,-65.23833333
"ctb0033-RO2193",14,13.96,3388,3303,1996,1396,-10.83888889,-64.90666667
"ctb0033-RO2292",14,13.93,4083,4054,1996,1393,-12.44888889,-61.71777778
"ctb0033-RO2307",14,14.38,3591,3406,1996,1438,-12.47305556,-61.88083333
"ctb0033-RO2370",14,13.35,3982,3900,1996,1335,-8.91833333,-63.22111111
"ctb0033-RO2393",14,14.27,3539,3448,1996,1427,-8.62472222,-63.57861111
"ctb0033-RO2394",14,13.67,3947,3854,1996,1367,-8.59583333,-63.68
"ctb0033-RO2403",14,13.39,4860,4277,1996,1339,-12.24111111,-62.04694444
"ctb0033-RO2533",14,14.03,3399,3342,1996,1403,-12.90138889,-61.38166667
"ctb0033-RO2614",14,14.07,3348,3285,1996,1407,-12.08666667,-61.28333333
"ctb0033-RO2617",14,13.87,3920,3826,1996,1387,-12.09527778,-61.41833333
"ctb0033-RO2626",14,14.8,4172,3983,1996,1480,-13.05444444,-62.55833333
